2019-12-03 12:03:34 INFO  DAGScheduler:54 - Got job 1 (takeSample at Kmeans.java:54) with 2 output partitions
2019-12-03 12:03:34 INFO  DAGScheduler:54 - Final stage: ResultStage 1 (takeSample at Kmeans.java:54)
2019-12-03 12:03:34 INFO  DAGScheduler:54 - Parents of final stage: List()
2019-12-03 12:03:34 INFO  DAGScheduler:54 - Missing parents: List()
2019-12-03 12:03:34 INFO  DAGScheduler:54 - Submitting ResultStage 1 (PartitionwiseSampledRDD[3] at takeSample at Kmeans.java:54), which has no missing parents
2019-12-03 12:03:34 INFO  MemoryStore:54 - Block broadcast_2 stored as values in memory (estimated size 4.9 KB, free 366.0 MB)
2019-12-03 12:03:34 INFO  MemoryStore:54 - Block broadcast_2_piece0 stored as bytes in memory (estimated size 2.9 KB, free 366.0 MB)
2019-12-03 12:03:34 INFO  BlockManagerInfo:54 - Added broadcast_2_piece0 in memory on cssmpi1.uwb.edu:42909 (size: 2.9 KB, free: 366.3 MB)
2019-12-03 12:03:34 INFO  SparkContext:54 - Created broadcast 2 from broadcast at DAGScheduler.scala:1039
2019-12-03 12:03:34 INFO  DAGScheduler:54 - Submitting 2 missing tasks from ResultStage 1 (PartitionwiseSampledRDD[3] at takeSample at Kmeans.java:54) (first 15 tasks are for partitions Vector(0, 1))
2019-12-03 12:03:34 INFO  TaskSchedulerImpl:54 - Adding task set 1.0 with 2 tasks
2019-12-03 12:03:34 INFO  TaskSetManager:54 - Starting task 0.0 in stage 1.0 (TID 2, 172.28.203.196, executor 0, partition 0, PROCESS_LOCAL, 8008 bytes)
2019-12-03 12:03:34 INFO  BlockManagerInfo:54 - Added broadcast_2_piece0 in memory on 172.28.203.196:32977 (size: 2.9 KB, free: 362.8 MB)
2019-12-03 12:03:34 INFO  TaskSetManager:54 - Starting task 1.0 in stage 1.0 (TID 3, 172.28.203.196, executor 0, partition 1, PROCESS_LOCAL, 8008 bytes)
2019-12-03 12:03:34 INFO  TaskSetManager:54 - Finished task 0.0 in stage 1.0 (TID 2) in 70 ms on 172.28.203.196 (executor 0) (1/2)
2019-12-03 12:03:34 INFO  TaskSetManager:54 - Finished task 1.0 in stage 1.0 (TID 3) in 23 ms on 172.28.203.196 (executor 0) (2/2)
2019-12-03 12:03:34 INFO  TaskSchedulerImpl:54 - Removed TaskSet 1.0, whose tasks have all completed, from pool 
2019-12-03 12:03:34 INFO  DAGScheduler:54 - ResultStage 1 (takeSample at Kmeans.java:54) finished in 0.094 s
2019-12-03 12:03:34 INFO  DAGScheduler:54 - Job 1 finished: takeSample at Kmeans.java:54, took 0.101901 s
2019-12-03 12:03:34 INFO  SparkContext:54 - Starting job: collect at Kmeans.java:87
2019-12-03 12:03:34 INFO  DAGScheduler:54 - Registering RDD 4 (mapToPair at Kmeans.java:67)
2019-12-03 12:03:34 INFO  DAGScheduler:54 - Got job 2 (collect at Kmeans.java:87) with 2 output partitions
2019-12-03 12:03:34 INFO  DAGScheduler:54 - Final stage: ResultStage 3 (collect at Kmeans.java:87)
2019-12-03 12:03:34 INFO  DAGScheduler:54 - Parents of final stage: List(ShuffleMapStage 2)
2019-12-03 12:03:34 INFO  DAGScheduler:54 - Missing parents: List(ShuffleMapStage 2)
2019-12-03 12:03:34 INFO  DAGScheduler:54 - Submitting ShuffleMapStage 2 (MapPartitionsRDD[4] at mapToPair at Kmeans.java:67), which has no missing parents
2019-12-03 12:03:34 INFO  MemoryStore:54 - Block broadcast_3 stored as values in memory (estimated size 6.4 KB, free 366.0 MB)
2019-12-03 12:03:34 INFO  MemoryStore:54 - Block broadcast_3_piece0 stored as bytes in memory (estimated size 3.5 KB, free 366.0 MB)
2019-12-03 12:03:34 INFO  BlockManagerInfo:54 - Added broadcast_3_piece0 in memory on cssmpi1.uwb.edu:42909 (size: 3.5 KB, free: 366.3 MB)
2019-12-03 12:03:34 INFO  SparkContext:54 - Created broadcast 3 from broadcast at DAGScheduler.scala:1039
2019-12-03 12:03:34 INFO  DAGScheduler:54 - Submitting 2 missing tasks from ShuffleMapStage 2 (MapPartitionsRDD[4] at mapToPair at Kmeans.java:67) (first 15 tasks are for partitions Vector(0, 1))
2019-12-03 12:03:34 INFO  TaskSchedulerImpl:54 - Adding task set 2.0 with 2 tasks
2019-12-03 12:03:34 INFO  TaskSetManager:54 - Starting task 0.0 in stage 2.0 (TID 4, 172.28.203.196, executor 0, partition 0, PROCESS_LOCAL, 7888 bytes)
2019-12-03 12:03:34 INFO  BlockManagerInfo:54 - Added broadcast_3_piece0 in memory on 172.28.203.196:32977 (size: 3.5 KB, free: 362.8 MB)
2019-12-03 12:03:34 INFO  TaskSetManager:54 - Starting task 1.0 in stage 2.0 (TID 5, 172.28.203.196, executor 0, partition 1, PROCESS_LOCAL, 7888 bytes)
2019-12-03 12:03:34 INFO  TaskSetManager:54 - Finished task 0.0 in stage 2.0 (TID 4) in 151 ms on 172.28.203.196 (executor 0) (1/2)
2019-12-03 12:03:34 INFO  TaskSetManager:54 - Finished task 1.0 in stage 2.0 (TID 5) in 79 ms on 172.28.203.196 (executor 0) (2/2)
2019-12-03 12:03:34 INFO  TaskSchedulerImpl:54 - Removed TaskSet 2.0, whose tasks have all completed, from pool 
2019-12-03 12:03:34 INFO  DAGScheduler:54 - ShuffleMapStage 2 (mapToPair at Kmeans.java:67) finished in 0.240 s
2019-12-03 12:03:34 INFO  DAGScheduler:54 - looking for newly runnable stages
2019-12-03 12:03:34 INFO  DAGScheduler:54 - running: Set()
2019-12-03 12:03:34 INFO  DAGScheduler:54 - waiting: Set(ResultStage 3)
2019-12-03 12:03:34 INFO  DAGScheduler:54 - failed: Set()
2019-12-03 12:03:34 INFO  DAGScheduler:54 - Submitting ResultStage 3 (MapPartitionsRDD[7] at mapValues at Kmeans.java:77), which has no missing parents
2019-12-03 12:03:34 INFO  MemoryStore:54 - Block broadcast_4 stored as values in memory (estimated size 7.8 KB, free 366.0 MB)
2019-12-03 12:03:34 INFO  MemoryStore:54 - Block broadcast_4_piece0 stored as bytes in memory (estimated size 4.0 KB, free 366.0 MB)
2019-12-03 12:03:34 INFO  BlockManagerInfo:54 - Added broadcast_4_piece0 in memory on cssmpi1.uwb.edu:42909 (size: 4.0 KB, free: 366.3 MB)
2019-12-03 12:03:34 INFO  SparkContext:54 - Created broadcast 4 from broadcast at DAGScheduler.scala:1039
2019-12-03 12:03:34 INFO  DAGScheduler:54 - Submitting 2 missing tasks from ResultStage 3 (MapPartitionsRDD[7] at mapValues at Kmeans.java:77) (first 15 tasks are for partitions Vector(0, 1))
2019-12-03 12:03:34 INFO  TaskSchedulerImpl:54 - Adding task set 3.0 with 2 tasks
2019-12-03 12:03:34 INFO  TaskSetManager:54 - Starting task 0.0 in stage 3.0 (TID 6, 172.28.203.196, executor 0, partition 0, NODE_LOCAL, 7653 bytes)
2019-12-03 12:03:34 INFO  BlockManagerInfo:54 - Added broadcast_4_piece0 in memory on 172.28.203.196:32977 (size: 4.0 KB, free: 362.8 MB)
2019-12-03 12:03:34 INFO  MapOutputTrackerMasterEndpoint:54 - Asked to send map output locations for shuffle 0 to 172.28.203.196:55458
2019-12-03 12:03:34 INFO  BlockManagerInfo:54 - Added taskresult_6 in memory on 172.28.203.196:32977 (size: 1225.8 KB, free: 361.6 MB)
2019-12-03 12:03:34 INFO  TaskSetManager:54 - Starting task 1.0 in stage 3.0 (TID 7, 172.28.203.196, executor 0, partition 1, NODE_LOCAL, 7653 bytes)
2019-12-03 12:03:34 INFO  TransportClientFactory:267 - Successfully created connection to /172.28.203.196:32977 after 26 ms (0 ms spent in bootstraps)
2019-12-03 12:03:34 INFO  ContextCleaner:54 - Cleaned accumulator 12
2019-12-03 12:03:34 INFO  ContextCleaner:54 - Cleaned accumulator 29
2019-12-03 12:03:34 INFO  ContextCleaner:54 - Cleaned accumulator 21
2019-12-03 12:03:34 INFO  ContextCleaner:54 - Cleaned accumulator 3
2019-12-03 12:03:34 INFO  ContextCleaner:54 - Cleaned accumulator 33
2019-12-03 12:03:34 INFO  ContextCleaner:54 - Cleaned accumulator 46
2019-12-03 12:03:34 INFO  ContextCleaner:54 - Cleaned accumulator 20
2019-12-03 12:03:34 INFO  ContextCleaner:54 - Cleaned accumulator 35
2019-12-03 12:03:34 INFO  ContextCleaner:54 - Cleaned accumulator 1
2019-12-03 12:03:34 INFO  ContextCleaner:54 - Cleaned accumulator 34
2019-12-03 12:03:34 INFO  ContextCleaner:54 - Cleaned accumulator 14
2019-12-03 12:03:34 INFO  ContextCleaner:54 - Cleaned accumulator 31
2019-12-03 12:03:34 INFO  ContextCleaner:54 - Cleaned accumulator 48
